 t-7,t-6,t-5,t-4,t-3,t-2,t-1,t,T+1
2311,2836,2431,2724,1894,2706,2439,2737,2541
2836,2431,2724,1894,2706,2439,2737,2541,2441
2431,2724,1894,2706,2439,2737,2541,2441,2027
2724,1894,2706,2439,2737,2541,2441,2027,2169
1894,2706,2439,2737,2541,2441,2027,2169,1899
2706,2439,2737,2541,2441,2027,2169,1899,2278
2439,2737,2541,2441,2027,2169,1899,2278,2272
2737,2541,2441,2027,2169,1899,2278,2272,2425
2541,2441,2027,2169,1899,2278,2272,2425,1879
2441,2027,2169,1899,2278,2272,2425,1879,2900
2027,2169,1899,2278,2272,2425,1879,2900,2577
2169,1899,2278,2272,2425,1879,2900,2577,2629
1899,2278,2272,2425,1879,2900,2577,2629,1952
2278,2272,2425,1879,2900,2577,2629,1952,2571
2272,2425,1879,2900,2577,2629,1952,2571,2809
2425,1879,2900,2577,2629,1952,2571,2809,2576
1879,2900,2577,2629,1952,2571,2809,2576,2467
2900,2577,2629,1952,2571,2809,2576,2467,2190
2577,2629,1952,2571,2809,2576,2467,2190,1855
