t-7,t-6,t-5, t-4,t-3,t-2,t-1,t,T+1
1721,1858,1367,1660,2033,1217,1769,1653,1440
1858,1367,1660,2033,1217,1769,1653,1440,1677
1367,1660,2033,1217,1769,1653,1440,1677,1880
1660,2033,1217,1769,1653,1440,1677,1880,2203
2033,1217,1769,1653,1440,1677,1880,2203,1703
1217,1769,1653,1440,1677,1880,2203,1703,1617
1769,1653,1440,1677,1880,2203,1703,1617,1600
1653,1440,1677,1880,2203,1703,1617,1600,1422
1440,1677,1880,2203,1703,1617,1600,1422,1547
1677,1880,2203,1703,1617,1600,1422,1547,1949
1880,2203,1703,1617,1600,1422,1547,1949,2035
2203,1703,1617,1600,1422,1547,1949,2035,899
1703,1617,1600,1422,1547,1949,2035,899,1383
1617,1600,1422,1547,1949,2035,899,1383,1846
1600,1422,1547,1949,2035,899,1383,1846,1127
1422,1547,1949,2035,899,1383,1846,1127,2285
1547,1949,2035,899,1383,1846,1127,2285,908
1949,2035,899,1383,1846,1127,2285,908,1862
2035,899,1383,1846,1127,2285,908,1862,1475
