t-8,t-7,t-6,t-5,t-4,t-3,t-2,t-1,t,T+1
1448,1601,1395,1360,1983,1210,2507,1425,1475,1135
1601,1395,1360,1983,1210,2507,1425,1475,1135,1375
1395,1360,1983,1210,2507,1425,1475,1135,1375,2056
1360,1983,1210,2507,1425,1475,1135,1375,2056,1658
1983,1210,2507,1425,1475,1135,1375,2056,1658,1899
1210,2507,1425,1475,1135,1375,2056,1658,1899,1265
2507,1425,1475,1135,1375,2056,1658,1899,1265,1505
1425,1475,1135,1375,2056,1658,1899,1265,1505,2095
1475,1135,1375,2056,1658,1899,1265,1505,2095,1495
1135,1375,2056,1658,1899,1265,1505,2095,1495,1693
1375,2056,1658,1899,1265,1505,2095,1495,1693,1550
2056,1658,1899,1265,1505,2095,1495,1693,1550,1660
1658,1899,1265,1505,2095,1495,1693,1550,1660,2114
1899,1265,1505,2095,1495,1693,1550,1660,2114,1875
1265,1505,2095,1495,1693,1550,1660,2114,1875,1239
1505,2095,1495,1693,1550,1660,2114,1875,1239,1163
2095,1495,1693,1550,1660,2114,1875,1239,1163,1274
1495,1693,1550,1660,2114,1875,1239,1163,1274,1741
1693,1550,1660,2114,1875,1239,1163,1274,1741,1212
1550,1660,2114,1875,1239,1163,1274,1741,1212,2014
1660,2114,1875,1239,1163,1274,1741,1212,2014,1755
2114,1875,1239,1163,1274,1741,1212,2014,1755,2149
1875,1239,1163,1274,1741,1212,2014,1755,2149,1714
1239,1163,1274,1741,1212,2014,1755,2149,1714,1481
1163,1274,1741,1212,2014,1755,2149,1714,1481,1988
1274,1741,1212,2014,1755,2149,1714,1481,1988,1972
1741,1212,2014,1755,2149,1714,1481,1988,1972,1828
1212,2014,1755,2149,1714,1481,1988,1972,1828,1599
2014,1755,2149,1714,1481,1988,1972,1828,1599,1702
1755,2149,1714,1481,1988,1972,1828,1599,1702,1259
2149,1714,1481,1988,1972,1828,1599,1702,1259,1687
